unicode.pf2   2MB ./boot/grub2/fonts
System.map-3.10.0-1160.el7.x86_64   3MB ./boot
vmlinuz-3.10.0-1160.el7.x86_64   6MB ./boot
initramfs-0-rescue-8dbc9aebdfe6e14faa3b9c5bfdf78b85.img   62MB ./boot
vmlinuz-0-rescue-8dbc9aebdfe6e14faa3b9c5bfdf78b85   6MB ./boot
initramfs-3.10.0-1160.el7.x86_64.img   21MB ./boot
System.map-3.10.0-1160.66.1.el7.x86_64   3MB ./boot
vmlinuz-3.10.0-1160.66.1.el7.x86_64   6MB ./boot
initramfs-3.10.0-1160.66.1.el7.x86_64.img   21MB ./boot
kcore   140737486MB ./proc
system.journal   6MB ./run/log/journal/8dbc9aebdfe6e14faa3b9c5bfdf78b85
resource1_wc   16MB ./sys/devices/pci0000:00/0000:00:02.0
resource1   16MB ./sys/devices/pci0000:00/0000:00:02.0
resource1   4MB ./sys/devices/pci0000:00/0000:00:04.0
policy.31   3MB ./etc/selinux/targeted/policy
policy.kern   3MB ./etc/selinux/targeted/active
policy.linked   3MB ./etc/selinux/targeted/active
hwdb.bin   8MB ./etc/udev
Packages   139MB ./var/lib/rpm
Basenames   2MB ./var/lib/rpm
Providename   2MB ./var/lib/rpm
primary_db.sqlite   31MB ./var/cache/yum/x86_64/7/base/gen
6d0c3a488c282fe537794b5946b01e28c7f44db79097bb06826e1c0c88bad5ef-primary.sqlite.bz2   6MB ./var/cache/yum/x86_64/7/base
primary_db.sqlite   90MB ./var/cache/yum/x86_64/7/updates/gen
binutils-2.27-44.base.el7_9.1.x86_64.rpm   6MB ./var/cache/yum/x86_64/7/updates/packages
coreutils-8.22-24.el7_9.2.x86_64.rpm   3MB ./var/cache/yum/x86_64/7/updates/packages
glib2-2.56.1-9.el7_9.x86_64.rpm   2MB ./var/cache/yum/x86_64/7/updates/packages
glibc-2.17-326.el7_9.x86_64.rpm   3MB ./var/cache/yum/x86_64/7/updates/packages
glibc-common-2.17-326.el7_9.x86_64.rpm   12MB ./var/cache/yum/x86_64/7/updates/packages
iwl7260-firmware-25.30.13.0-80.el7_9.noarch.rpm   6MB ./var/cache/yum/x86_64/7/updates/packages
kernel-3.10.0-1160.66.1.el7.x86_64.rpm   52MB ./var/cache/yum/x86_64/7/updates/packages
kernel-devel-3.10.0-1160.66.1.el7.x86_64.rpm   18MB ./var/cache/yum/x86_64/7/updates/packages
kernel-headers-3.10.0-1160.66.1.el7.x86_64.rpm   9MB ./var/cache/yum/x86_64/7/updates/packages
kernel-tools-3.10.0-1160.66.1.el7.x86_64.rpm   8MB ./var/cache/yum/x86_64/7/updates/packages
kernel-tools-libs-3.10.0-1160.66.1.el7.x86_64.rpm   8MB ./var/cache/yum/x86_64/7/updates/packages
linux-firmware-20200421-80.git78c0348.el7_9.noarch.rpm   84MB ./var/cache/yum/x86_64/7/updates/packages
microcode_ctl-2.1-73.13.el7_9.x86_64.rpm   4MB ./var/cache/yum/x86_64/7/updates/packages
perl-5.16.3-299.el7_9.x86_64.rpm   8MB ./var/cache/yum/x86_64/7/updates/packages
python-libs-2.7.5-90.el7.x86_64.rpm   5MB ./var/cache/yum/x86_64/7/updates/packages
python-perf-3.10.0-1160.66.1.el7.x86_64.rpm   8MB ./var/cache/yum/x86_64/7/updates/packages
selinux-policy-targeted-3.13.1-268.el7_9.2.noarch.rpm   7MB ./var/cache/yum/x86_64/7/updates/packages
systemd-219-78.el7_9.5.x86_64.rpm   5MB ./var/cache/yum/x86_64/7/updates/packages
f93711d04f41daf594dc63dc00f17ee88ff50ae772cea4d3ecc843804c3c9b07-primary.sqlite.bz2   16MB ./var/cache/yum/x86_64/7/updates
dwp   3MB ./usr/bin
ld.gold   5MB ./usr/bin
gdb   6MB ./usr/bin
stap   3MB ./usr/bin
vim   2MB ./usr/bin
doxygen   8MB ./usr/bin
lvm   2MB ./usr/sbin
NetworkManager   2MB ./usr/sbin
locale-archive   106MB ./usr/lib/locale
nic_AMDA0058-0011_2x40.nffw   2MB ./usr/lib/firmware/netronome/bpf
nic_AMDA0058-0012_2x40.nffw   2MB ./usr/lib/firmware/netronome/bpf
nic_AMDA0078-0011_1x100.nffw   2MB ./usr/lib/firmware/netronome/bpf
nic_AMDA0081-0001_1x40.nffw   2MB ./usr/lib/firmware/netronome/bpf
nic_AMDA0081-0001_4x10.nffw   2MB ./usr/lib/firmware/netronome/bpf
nic_AMDA0096-0001_2x10.nffw   2MB ./usr/lib/firmware/netronome/bpf
nic_AMDA0097-0001_2x40.nffw   2MB ./usr/lib/firmware/netronome/bpf
nic_AMDA0097-0001_4x10_1x40.nffw   2MB ./usr/lib/firmware/netronome/bpf
nic_AMDA0097-0001_8x10.nffw   2MB ./usr/lib/firmware/netronome/bpf
nic_AMDA0099-0001_1x10_1x25.nffw   2MB ./usr/lib/firmware/netronome/bpf
nic_AMDA0099-0001_2x10.nffw   2MB ./usr/lib/firmware/netronome/bpf
nic_AMDA0099-0001_2x25.nffw   2MB ./usr/lib/firmware/netronome/bpf
nic_AMDA0058.nffw   6MB ./usr/lib/firmware/netronome/flower
nic_AMDA0096.nffw   4MB ./usr/lib/firmware/netronome/flower
nic_AMDA0097.nffw   4MB ./usr/lib/firmware/netronome/flower
nic_AMDA0099.nffw   4MB ./usr/lib/firmware/netronome/flower
nic_AMDA0058-0011_2x40.nffw   3MB ./usr/lib/firmware/netronome/nic
nic_AMDA0058-0012_2x40.nffw   3MB ./usr/lib/firmware/netronome/nic
nic_AMDA0078-0011_1x100.nffw   3MB ./usr/lib/firmware/netronome/nic
nic_AMDA0081-0001_1x40.nffw   3MB ./usr/lib/firmware/netronome/nic
nic_AMDA0081-0001_4x10.nffw   3MB ./usr/lib/firmware/netronome/nic
nic_AMDA0096-0001_2x10.nffw   3MB ./usr/lib/firmware/netronome/nic
nic_AMDA0097-0001_2x40.nffw   3MB ./usr/lib/firmware/netronome/nic
nic_AMDA0097-0001_4x10_1x40.nffw   3MB ./usr/lib/firmware/netronome/nic
nic_AMDA0097-0001_8x10.nffw   3MB ./usr/lib/firmware/netronome/nic
nic_AMDA0099-0001_1x10_1x25.nffw   3MB ./usr/lib/firmware/netronome/nic
nic_AMDA0099-0001_2x10.nffw   3MB ./usr/lib/firmware/netronome/nic
nic_AMDA0099-0001_2x25.nffw   3MB ./usr/lib/firmware/netronome/nic
nic_AMDA0058-0011_2x40.nffw   4MB ./usr/lib/firmware/netronome/nic-sriov
nic_AMDA0058-0012_2x40.nffw   4MB ./usr/lib/firmware/netronome/nic-sriov
nic_AMDA0078-0011_1x100.nffw   5MB ./usr/lib/firmware/netronome/nic-sriov
nic_AMDA0081-0001_1x40.nffw   5MB ./usr/lib/firmware/netronome/nic-sriov
nic_AMDA0081-0001_4x10.nffw   5MB ./usr/lib/firmware/netronome/nic-sriov
nic_AMDA0096-0001_2x10.nffw   4MB ./usr/lib/firmware/netronome/nic-sriov
nic_AMDA0097-0001_2x40.nffw   4MB ./usr/lib/firmware/netronome/nic-sriov
nic_AMDA0097-0001_4x10_1x40.nffw   5MB ./usr/lib/firmware/netronome/nic-sriov
nic_AMDA0097-0001_8x10.nffw   5MB ./usr/lib/firmware/netronome/nic-sriov
nic_AMDA0099-0001_1x10_1x25.nffw   4MB ./usr/lib/firmware/netronome/nic-sriov
nic_AMDA0099-0001_2x10.nffw   4MB ./usr/lib/firmware/netronome/nic-sriov
nic_AMDA0099-0001_2x25.nffw   4MB ./usr/lib/firmware/netronome/nic-sriov
wlanmdsp.mbn   3MB ./usr/lib/firmware/ath10k/WCN3990/hw1.0
lio_23xx_vsw.bin   20MB ./usr/lib/firmware/liquidio
vpu_d.bin   2MB ./usr/lib/firmware/mediatek/mt8173
adsp.mbn   10MB ./usr/lib/firmware/qcom/sdm845
cdsp.mbn   2MB ./usr/lib/firmware/qcom/sdm845
modem.mbn   5MB ./usr/lib/firmware/qcom/sdm845
iwlwifi-8265-36.ucode   2MB ./usr/lib/firmware
iwlwifi-9000-pu-b0-jf-b0-33.ucode   2MB ./usr/lib/firmware
iwlwifi-9000-pu-b0-jf-b0-34.ucode   2MB ./usr/lib/firmware
iwlwifi-9000-pu-b0-jf-b0-38.ucode   2MB ./usr/lib/firmware
iwlwifi-9000-pu-b0-jf-b0-41.ucode   2MB ./usr/lib/firmware
iwlwifi-9000-pu-b0-jf-b0-43.ucode   2MB ./usr/lib/firmware
iwlwifi-9260-th-b0-jf-b0-33.ucode   2MB ./usr/lib/firmware
iwlwifi-9260-th-b0-jf-b0-34.ucode   2MB ./usr/lib/firmware
iwlwifi-9260-th-b0-jf-b0-38.ucode   2MB ./usr/lib/firmware
iwlwifi-9260-th-b0-jf-b0-41.ucode   2MB ./usr/lib/firmware
iwlwifi-9260-th-b0-jf-b0-43.ucode   2MB ./usr/lib/firmware
iwlwifi-8000C-16.ucode   2MB ./usr/lib/firmware
iwlwifi-8000C-21.ucode   2MB ./usr/lib/firmware
iwlwifi-8000C-22.ucode   2MB ./usr/lib/firmware
iwlwifi-8000C-27.ucode   2MB ./usr/lib/firmware
iwlwifi-8000C-31.ucode   2MB ./usr/lib/firmware
iwlwifi-8000C-34.ucode   2MB ./usr/lib/firmware
iwlwifi-8000C-36.ucode   2MB ./usr/lib/firmware
iwlwifi-8265-21.ucode   2MB ./usr/lib/firmware
iwlwifi-8265-27.ucode   2MB ./usr/lib/firmware
iwlwifi-8265-31.ucode   2MB ./usr/lib/firmware
iwlwifi-8265-34.ucode   2MB ./usr/lib/firmware
libgcc.a   3MB ./usr/lib/gcc/x86_64-redhat-linux/4.8.2/32
libgcc.a   3MB ./usr/lib/gcc/x86_64-redhat-linux/4.8.2
20-pci-vendor-model.hwdb   2MB ./usr/lib/udev/hwdb.d
22-pci-vendor-model.hwdb   3MB ./usr/lib/udev/hwdb.d
libc-2.17.so   2MB ./usr/lib64
JP.so   2MB ./usr/lib64/perl5/vendor_perl/auto/Encode/JP
KR.so   2MB ./usr/lib64/perl5/vendor_perl/auto/Encode/KR
libdyninstAPI.so.9.3.1   2MB ./usr/lib64/dyninst
libparseAPI.so.9.3.1   3MB ./usr/lib64/dyninst
libmozjs-17.0.so   4MB ./usr/lib64
libcrypto.so.1.0.2k   2MB ./usr/lib64
libmysqlclient.so.18.0.0   3MB ./usr/lib64/mysql
libdns-export.so.1102.1.2   2MB ./usr/lib64/bind9-export
liblvm2cmd.so.2.02   2MB ./usr/lib64
unicode.pf2   2MB ./usr/share/grub
7lines-bottom.png   7MB ./usr/share/backgrounds
